alignment	model
OG0000271_disco_tree1_aligned_trim.faa	LG
OG0000271_disco_tree2_aligned_trim.faa	LG
OG0000271_disco_tree3_aligned_trim.faa	LG
OG0000271_disco_tree4_aligned_trim.faa	LG
OG0000271_disco_tree5_aligned_trim.faa	LG
OG0000271_disco_tree6_aligned_trim.faa	LG
OG0000271_disco_tree7_aligned_trim.faa	LG
OG0000271_disco_tree8_aligned_trim.faa	LG
OG0000272_disco_tree1_aligned_trim.faa	WAG
OG0000272_disco_tree2_aligned_trim.faa	WAG
OG0000273_disco_tree1_aligned_trim.faa	WAG
OG0000273_disco_tree2_aligned_trim.faa	WAG
OG0000273_disco_tree3_aligned_trim.faa	WAG
OG0000273_disco_tree4_aligned_trim.faa	WAG
OG0000273_disco_tree5_aligned_trim.faa	WAG
OG0000274_disco_tree2_aligned_trim.faa	WAG
OG0000275_disco_tree1_aligned_trim.faa	LG
OG0000275_disco_tree2_aligned_trim.faa	LG
OG0000275_disco_tree3_aligned_trim.faa	LG
OG0000275_disco_tree4_aligned_trim.faa	LG
OG0000275_disco_tree5_aligned_trim.faa	LG
OG0000276_disco_tree1_aligned_trim.faa	LG
OG0000276_disco_tree2_aligned_trim.faa	WAG
OG0000276_disco_tree3_aligned_trim.faa	LG
OG0000276_disco_tree4_aligned_trim.faa	LG
OG0000276_disco_tree5_aligned_trim.faa	VT
OG0000276_disco_tree6_aligned_trim.faa	WAG
OG0000277_disco_tree1_aligned_trim.faa	LG
OG0000277_disco_tree3_aligned_trim.faa	LG
OG0000279_disco_tree1_aligned_trim.faa	cpREV
OG0000280_disco_tree2_aligned_trim.faa	LG
OG0000280_disco_tree4_aligned_trim.faa	LG
OG0000280_disco_tree5_aligned_trim.faa	LG
OG0000281_disco_tree1_aligned_trim.faa	JTT
OG0000281_disco_tree2_aligned_trim.faa	LG
OG0000281_disco_tree3_aligned_trim.faa	LG
OG0000281_disco_tree4_aligned_trim.faa	JTT
OG0000283_disco_tree1_aligned_trim.faa	LG
OG0000286_disco_tree1_aligned_trim.faa	LG
OG0000286_disco_tree2_aligned_trim.faa	WAG
OG0000286_disco_tree3_aligned_trim.faa	WAG
OG0000286_disco_tree4_aligned_trim.faa	LG
OG0000287_disco_tree1_aligned_trim.faa	LG
OG0000287_disco_tree2_aligned_trim.faa	LG
OG0000287_disco_tree4_aligned_trim.faa	LG
OG0000291_disco_tree1_aligned_trim.faa	LG
OG0000292_disco_tree1_aligned_trim.faa	LG
OG0000292_disco_tree2_aligned_trim.faa	LG
OG0000292_disco_tree3_aligned_trim.faa	LG
OG0000295_disco_tree1_aligned_trim.faa	LG
OG0000295_disco_tree2_aligned_trim.faa	LG
OG0000296_disco_tree1_aligned_trim.faa	VT
OG0000297_disco_tree1_aligned_trim.faa	LG
OG0000297_disco_tree2_aligned_trim.faa	LG
OG0000297_disco_tree3_aligned_trim.faa	LG
OG0000297_disco_tree4_aligned_trim.faa	LG
OG0000298_disco_tree1_aligned_trim.faa	WAG
OG0000298_disco_tree2_aligned_trim.faa	VT
